,time,usuario,device,colocation,acc_x,acc_y,acc_z,la_x,la_y,la_z,Activity
3517,04-04-2022-21:20:46.298,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.674258,1.3838485,-7.9343843,-0.4793563,-0.1449486,-0.45332813,Lying
3518,04-04-2022-21:20:46.308,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.717354,1.3599066,-7.9152308,-0.43504238,-0.16782498,-0.43295527,Lying
3519,04-04-2022-21:20:46.318,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7508726,1.3790601,-7.9104424,-0.4003272,-0.14762485,-0.42697,Lying
3520,04-04-2022-21:20:46.328,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6982,1.2737153,-7.953538,-0.45174313,-0.25185704,-0.46880627,Lying
3521,04-04-2022-21:20:46.338,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.765238,1.3455414,-7.943961,-0.3833742,-0.1790011,-0.45792532,Lying
3522,04-04-2022-21:20:46.348,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7987566,1.2976574,-7.953538,-0.34860945,-0.22585714,-0.46626997,Lying
3523,04-04-2022-21:20:46.359,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.693412,1.292869,-7.9487495,-0.45274305,-0.22933066,-0.46022034,Lying
3524,04-04-2022-21:20:46.368,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7365074,1.292869,-7.967903,-0.4084239,-0.22816062,-0.47813177,Lying
3525,04-04-2022-21:20:46.378,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7269306,1.316811,-7.9391727,-0.41660547,-0.20311677,-0.4480338,Lying
3526,04-04-2022-21:20:46.389,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.722142,1.3215994,-7.97748,-0.4197464,-0.19737339,-0.48479605,Lying
3527,04-04-2022-21:20:46.398,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.731719,1.316811,-8.030152,-0.40855837,-0.20091999,-0.5358963,Lying
3528,04-04-2022-21:20:46.408,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.770026,1.3024458,-7.9870567,-0.36870813,-0.21402955,-0.49128246,Lying
3529,04-04-2022-21:20:46.418,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7269306,1.3072342,-7.905654,-0.41040945,-0.20797312,-0.40848207,Lying
3530,04-04-2022-21:20:46.428,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6886234,1.364695,-7.943961,-0.44754934,-0.14955509,-0.4456401,Lying
3531,04-04-2022-21:20:46.439,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6407394,1.3599066,-7.896077,-0.49415445,-0.15360212,-0.3965602,Lying
